Município,Evento,Status,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Outros Afetados,Registro
Coronel Pilar,Deslizamentos,Registro,1725,0,0,0,0,10,0,0,30/04/2024
Cotiporã,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3917,1,0,0,70,160,0,3686,12/05/2024
Coxilha,Tempestade Local/Convectiva - Granizo,Registro,2826,0,0,0,0,0,0,150,06/11/2024
Coxilha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,2826,0,0,0,0,0,0,200,16/05/2024
Crissiumal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,14085,0,0,0,0,0,0,14085,07/05/2024
Cristal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7280,0,0,0,0,0,0,1200,24/09/2024
Cristal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7280,0,0,0,0,144,0,0,30/04/2024
Cristal do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2826,0,0,0,8,4,0,2814,04/05/2024
Cruz Alta,Tempestade Local/Convectiva - Chuvas Intensas,Registro,62825,0,0,0,0,0,0,200,21/06/2024
Cruz Alta,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,62825,0,0,0,0,0,0,58913,02/05/2024
Cruz Alta,Tempestade Local/Convectiva - Vendaval,Registro,62825,0,0,0,0,0,0,6,04/04/2024
Cruz Alta,Tempestade Local/Convectiva - Vendaval,Registro,62825,0,0,0,0,0,0,112,21/03/2024
Cruzaltense,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2141,0,0,0,0,0,0,1635,02/05/2024
Cruzeiro do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12331,3,0,0,800,2987,0,12331,01/05/2024
Cruzeiro do Sul,Tempestade Local/Convectiva - Vendaval,Reconhecido,12331,0,0,0,0,12,0,12319,18/01/2024
David Canabarro,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,4683,0,0,0,0,0,0,4863,07/05/2024
David Canabarro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4683,0,0,0,0,0,0,1728,20/04/2024
Derrubadas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3190,0,0,0,0,12,0,2739,07/05/2024
Dezesseis de Novembro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2866,0,0,0,0,0,0,0,06/05/2024
Dezesseis de Novembro,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,2866,0,0,0,0,0,0,2507,25/01/2024
Dezesseis de Novembro,Tempestade Local/Convectiva - Vendaval,Não reconhecido,2866,0,0,0,0,2,0,76,05/01/2024
Dilermando de Aguiar,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3064,0,0,0,0,64,0,3000,01/05/2024
Dilermando de Aguiar,Tempestade Local/Convectiva - Chuvas Intensas,Registro,3064,0,0,0,0,0,0,0,25/03/2024
Dilermando de Aguiar,Tempestade Local/Convectiva - Chuvas Intensas,Registro,3064,0,0,0,0,0,0,2,26/01/2024
Dois Irmãos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,27572,0,0,0,0,60,0,0,07/05/2024
Dois Irmãos das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2157,0,0,0,0,12,0,2145,03/05/2024
Dois Lajeados,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3280,0,0,0,39,0,0,0,03/05/2024
Dom Feliciano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,14380,0,0,0,0,120,0,0,07/05/2024
Dom Pedrito,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,38916,0,0,0,49,520,0,2731,08/10/2024
Dom Pedrito,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,38916,0,0,0,0,0,0,1930,13/05/2024
Dom Pedro de Alcântara,Tempestade Local/Convectiva - Vendaval,Não reconhecido,2550,0,0,0,0,0,0,0,29/10/2024
Dom Pedro de Alcântara, Inundações,Reconhecido,2550,0,0,0,0,0,0,18,09/05/2024
Dona Francisca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3401,0,0,0,80,150,0,3171,03/05/2024
Doutor Maurício Cardoso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5313,0,0,0,0,0,0,4470,29/11/2024
Doutor Maurício Cardoso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5313,0,0,0,0,0,0,4470,07/05/2024
Doutor Ricardo,Tempestade Local/Convectiva - Chuvas Intensas,Registro,2030,0,0,0,50,200,0,1638,24/05/2024
Doutor Ricardo,Tempestade Local/Convectiva - Chuvas Intensas,Registro,2030,0,0,0,50,200,0,1638,24/05/2024
Doutor Ricardo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2030,0,0,0,50,200,0,1638,05/05/2024
Eldorado do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,34335,0,0,0,6000,20000,300,13259,06/05/2024
Eldorado do Sul,Tempestade Local/Convectiva - Vendaval,Registro,34335,0,0,0,0,0,0,640,27/03/2024
