Estacao,AnoMes,Precipitacao
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-09,54.4
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-10,21.6
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-11,29.2
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-12,53.800000000000004
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-01,67.4
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-02,35.2
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-03,9.6
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-04,2.2
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-05,14.0
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-06,147.0
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-07,42.2
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-08,117.6
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-09,47.2
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-10,24.0
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-11,18.0
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024,2024-12,70.0
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-01,0.4
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-02,0.0
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-03,0.2
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-04,0.0
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-05,6.2
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-06,0.0
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-07,0.0
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-08,0.2
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-09,0.2
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-10,0.2
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-11,5.8
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024,2024-12,0.4
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-01,18.0
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-02,277.2
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-03,10.4
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-04,194.6
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-05,45.0
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-06,21.8
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-07,211.6
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-08,51.4
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-09,72.2
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-10,43.2
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-11,44.800000000000004
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024,2024-12,37.8
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-01,98.2
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-02,103.0
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-03,14.0
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-04,95.8
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-05,22.599999999999998
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-06,31.6
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-07,101.4
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-08,47.800000000000004
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-09,29.400000000000002
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-10,33.6
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-11,93.39999999999999
